Quigley, Mike 
Raskin, Jamie 
Reed, Jack 
Reschenthaler, Guy 
Risch, James E. 
Rogers, Harold 
Rogers, Mike D. 
Romney, Mitt 
Rose, John W. 
Rosendale Sr., Matthew M. 
Rounds, Mike 
Rouzer, David 
Roy, Chip 
Rubio, Marco 
Ruiz, Raul 
Ruppersberger, C. A. Dutch 
Rutherford, John H. 
Ryan, Patrick 
Sablan, Gregorio Kilili Camacho 
Sanders, Bernard 
Santos, George 
Sarbanes, John P. 
Sasse, Ben 
Scalise, Steve 
Schatz, Brian 
Schiff, Adam B. 
Schmitt, Eric 
Schneider, Bradley Scott 
Schumer, Charles E. 
Schweikert, David 
Scott, Austin 
Scott, David 
Scott, Rick 
Scott, Robert C. "Bobby" 
Scott, Tim 
Self, Keith 
Sessions, Pete 
Sherman, Brad 
Simpson, Michael K. 
Smith, Adam 
Smith, Adrian 
Smith, Christopher H. 
Smith, Jason 
Smucker, Lloyd 
Sorensen, Eric 
Soto, Darren 
Stanton, Greg 
Stauber, Pete 
Steil, Bryan 
Steube, W. Gregory 
Stewart, Chris 
Sullivan, Dan 
Swalwell, Eric 
Takano, Mark 
Tester, Jon 
Thanedar, Shri 
Thompson, Bennie G. 
Thompson, Glenn 
Thompson, Mike 
Thune, John 
Tiffany, Thomas P. 
Tillis, Thomas 
Timmons, William R. IV 
Tonko, Paul 
Torres, Ritchie 
Trone, David J. 
Tuberville, Tommy 
Turner, Michael R. 
Valadao, David G. 
Van Drew, Jefferson 
Van Hollen, Chris 
Van Orden, Derrick 
Vargas, Juan 
Vasquez, Gabe 
Veasey, Marc A. 
Walberg, Tim 
Waltz, Michael 
Warner, Mark R. 
Warnock, Raphael G. 
Weber, Randy K., Sr. 
Webster, Daniel 
Welch, Peter 
Wenstrup, Brad R. 
Westerman, Bruce 
Whitehouse, Sheldon 
Wicker, Roger F. 
Williams, Brandon 
Williams, Roger 
Wilson, Joe 
Wittman, Robert J. 
Womack, Steve 
Wyden, Ron 
Yakym, Rudy 
Young, Todd 
